            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2443376.169122488, A.D. 1977-Aug-20 16:03:32.1830,  2.724742428961301E+00,  6.702362815111608E+03,  4.170644241057518E+01,  3.321934443987155E+02,  3.457392039339643E+02, -2.131498053991851E+03,  1.493261910200426E-01,  3.182884855692363E+02,  9.103398576893700E+01, -3.886007964185124E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.169816933, A.D. 1977-Aug-20 16:04:32.1830,  2.724742148348430E+00,  6.702360745904257E+03,  4.170643137174663E+01,  3.321933724440896E+02,  3.457392499331056E+02, -2.191497934936710E+03,  1.493262237291247E-01,  3.272481109342738E+02,  9.151938466435392E+01, -3.886007396712759E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.170511378, A.D. 1977-Aug-20 16:05:32.1830,  2.724741897737167E+00,  6.702358833923696E+03,  4.170642140099253E+01,  3.321933049042661E+02,  3.457392933949789E+02, -2.251497816107223E+03,  1.493262550800498E-01,  3.362077372002022E+02,  9.198178174186542E+01, -3.886006852803357E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.171205822, A.D. 1977-Aug-20 16:06:32.1830,  2.724741672368193E+00,  6.702357060716194E+03,  4.170641237293829E+01,  3.321932413857552E+02,  3.457393345087461E+02, -2.311497698027866E+03,  1.493262850714444E-01,  3.451673641976966E+02,  9.242277925577315E+01, -3.886006332480723E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.171900266, A.D. 1977-Aug-20 16:07:32.1830,  2.724741468238990E+00,  6.702355410020431E+03,  4.170640417898289E+01,  3.321931815349109E+02,  3.457393734490483E+02, -2.371497581079886E+03,  1.493263137269492E-01,  3.541269917950362E+02,  9.284383486367543E+01, -3.886005835334690E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.172594711, A.D. 1977-Aug-20 16:08:32.1830,  2.724741281969096E+00,  6.702353867482433E+03,  4.170639672479965E+01,  3.321931250333275E+02,  3.457394103770100E+02, -2.431497465531360E+03,  1.493263410872502E-01,  3.630866198907203E+02,  9.324627740858924E+01, -3.886005360659372E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.173289155, A.D. 1977-Aug-20 16:09:32.1830,  2.724741110691964E+00,  6.702352420409884E+03,  4.170638992824576E+01,  3.321930715938187E+02,  3.457394454412297E+02, -2.491497351561017E+03,  1.493263672042409E-01,  3.720462484075940E+02,  9.363132070645459E+01, -3.886004907554448E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.173983600, A.D. 1977-Aug-20 16:10:32.1830,  2.724740951966301E+00,  6.702351057557822E+03,  4.170638371760688E+01,  3.321930209568884E+02,  3.457394787787333E+02, -2.551497239277498E+03,  1.493263921366741E-01,  3.810058772879932E+02,  9.400007562219118E+01, -3.886004475000588E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.174678044, A.D. 1977-Aug-20 16:11:32.1830,  2.724740803706337E+00,  6.702349768947938E+03,  4.170637803012227E+01,  3.321929728876643E+02,  3.457395105158896E+02, -2.611497128734100E+03,  1.493264159471429E-01,  3.899655064901177E+02,  9.435356067330405E+01, -3.886004061911852E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.175372488, A.D. 1977-Aug-20 16:12:32.1830,  2.724740664117606E+00,  6.702348545689232E+03,  4.170637281073419E+01,  3.321929271731576E+02,  3.457395407692078E+02, -2.671497019896420E+03,  1.493264386997343E-01,  3.989251359780857E+02,  9.469271136324446E+01, -3.886003667176374E+03,  9.999999999999998E+99,  9.999999999999998E+99,
