            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2443376.148046100, A.D. 1977-Aug-20 15:33:11.1830,  2.725310989871261E+00,  6.702504093249354E+03,  4.171196551933795E+01,  3.322027282474915E+02,  3.457337717932990E+02, -3.104528531396521E+02,  1.493953114689318E-01,  4.638020069121685E+01,  3.570864472692865E+01, -3.884809250388813E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.148057674, A.D. 1977-Aug-20 15:33:12.1830,  2.725309053323321E+00,  6.702505289711150E+03,  4.171195452026191E+01,  3.322027217394307E+02,  3.457337937531674E+02, -3.114528298460813E+02,  1.493950199367226E-01,  4.652950172420399E+01,  3.580319515267187E+01, -3.884814304312989E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.148069248, A.D. 1977-Aug-20 15:33:13.1830,  2.725307119103984E+00,  6.702506479311763E+03,  4.171194350988595E+01,  3.322027151931413E+02,  3.457338155540093E+02, -3.124528081405976E+02,  1.493947289366551E-01,  4.667880257766129E+01,  3.589759097285707E+01, -3.884819349028492E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.148080822, A.D. 1977-Aug-20 15:33:14.1830,  2.725305187263288E+00,  6.702507662036118E+03,  4.171193248855391E+01,  3.322027086087743E+02,  3.457338371967207E+02, -3.134527880112028E+02,  1.493944384757311E-01,  4.682810325358601E+01,  3.599183221425134E+01, -3.884824384413851E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.148092396, A.D. 1977-Aug-20 15:33:15.1830,  2.725303257850514E+00,  6.702508837869786E+03,  4.171192145660650E+01,  3.322027019864822E+02,  3.457338586821996E+02, -3.144527695055073E+02,  1.493941485608321E-01,  4.697740376287087E+01,  3.608591891156879E+01, -3.884829410349674E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.148103970, A.D. 1977-Aug-20 15:33:16.1830,  2.725301330914778E+00,  6.702510006798841E+03,  4.171191041438477E+01,  3.322026953264203E+02,  3.457338800113406E+02, -3.154527524923067E+02,  1.493938591988002E-01,  4.712670408970963E+01,  3.617985108502960E+01, -3.884834426717259E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.148115544, A.D. 1977-Aug-20 15:33:17.1830,  2.725299406504141E+00,  6.702511168810073E+03,  4.171189936222492E+01,  3.322026886287439E+02,  3.457339011850421E+02, -3.164527370192223E+02,  1.493935703963169E-01,  4.727600424498835E+01,  3.627362877399356E+01, -3.884839433400680E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.148127118, A.D. 1977-Aug-20 15:33:18.1830,  2.725297484666199E+00,  6.702512323890844E+03,  4.171188830046177E+01,  3.322026818936104E+02,  3.457339222042012E+02, -3.174527230742756E+02,  1.493932821599851E-01,  4.742530423069086E+01,  3.636725201450033E+01, -3.884844430285375E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.148138692, A.D. 1977-Aug-20 15:33:19.1830,  2.725295565447954E+00,  6.702513472029113E+03,  4.171187722942791E+01,  3.322026751211787E+02,  3.457339430697153E+02, -3.184527106454947E+02,  1.493929944963102E-01,  4.757460404879745E+01,  3.646072084486531E+01, -3.884849417258473E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.148150266, A.D. 1977-Aug-20 15:33:20.1830,  2.725293648895797E+00,  6.702514613213425E+03,  4.171186614945361E+01,  3.322026683116090E+02,  3.457339637824816E+02, -3.194526997209188E+02,  1.493927074116973E-01,  4.772390370128402E+01,  3.655403530566318E+01, -3.884854394208834E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.148161840, A.D. 1977-Aug-20 15:33:21.1830,  2.725291735055518E+00,  6.702515747432925E+03,  4.171185506086694E+01,  3.322026614650629E+02,  3.457339843433972E+02, -3.204526902885964E+02,  1.493924209124557E-01,  4.787320319012278E+01,  3.664719543971101E+01, -3.884859361026987E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.148173414, A.D. 1977-Aug-20 15:33:22.1830,  2.725289823972321E+00,  6.702516874677329E+03,  4.171184396399366E+01,  3.322026545817035E+02,  3.457340047533589E+02, -3.214526823365867E+02,  1.493921350047970E-01,  4.802250251728150E+01,  3.674020129205111E+01, -3.884864317605144E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.148184989, A.D. 1977-Aug-20 15:33:23.1830,  2.725287915690806E+00,  6.702517994936941E+03,  4.171183285915732E+01,  3.322026476616953E+02,  3.457340250132632E+02, -3.224526758529618E+02,  1.493918496948364E-01,  4.817180168472348E+01,  3.683305290993471E+01, -3.884869263837194E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.148196563, A.D. 1977-Aug-20 15:33:24.1830,  2.725286010254985E+00,  6.702519108202644E+03,  4.171182174667921E+01,  3.322026407052037E+02,  3.457340451240065E+02, -3.234526708258070E+02,  1.493915649885935E-01,  4.832110069440768E+01,  3.692575034280500E+01, -3.884874199618681E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.148208137, A.D. 1977-Aug-20 15:33:25.1830,  2.725284107708280E+00,  6.702520214465872E+03,  4.171181062687833E+01,  3.322026337123961E+02,  3.457340650864842E+02, -3.244526672432220E+02,  1.493912808919914E-01,  4.847039954828797E+01,  3.701829364228043E+01, -3.884879124846818E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.148219711, A.D. 1977-Aug-20 15:33:26.1830,  2.725282208093533E+00,  6.702521313718632E+03,  4.171179950007143E+01,  3.322026266834405E+02,  3.457340849015916E+02, -3.254526650933215E+02,  1.493909974108591E-01,  4.861969824831359E+01,  3.711068286213793E+01, -3.884884039420448E+03,  9.999999999999998E+99,  9.999999999999998E+99,
