            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
******************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2443376.175372488, A.D. 1977-Aug-20 16:12:32.1830,      48.182846,  1.575595685022954E+04,  1.842835835369554E+04,  2.107645904753993E+04,  2.793285205498493E+00,  7.993703028203199E+00,  7.462341613779145E+00,  1.071603764469850E-01,  3.212587265524695E+04,  1.085111200892476E+01,
2443376.176066933, A.D. 1977-Aug-20 16:13:32.1830,      48.182846,  1.592321864393057E+04,  1.890758635409931E+04,  2.152374936314650E+04,  2.782199576521814E+00,  7.980638750376441E+00,  7.447432899056428E+00,  1.093315794728812E-01,  3.277678294719740E+04,  1.084587429438863E+01,
2443376.176761377, A.D. 1977-Aug-20 16:14:32.1830,      48.182846,  1.608983141740767E+04,  1.938604379787463E+04,  2.197016234440068E+04,  2.771644949114861E+00,  7.968014188695490E+00,  7.433091682866507E+00,  1.115017211280216E-01,  3.342737504820014E+04,  1.084051028521331E+01,
2443376.177455822, A.D. 1977-Aug-20 16:15:32.1830,      48.182846,  1.625582593788246E+04,  1.986375642635744E+04,  2.241573108070886E+04,  2.761585426973835E+00,  7.955808149938040E+00,  7.419286323453177E+00,  1.136707787841264E-01,  3.407764217446750E+04,  1.083504581759566E+01,
2443376.178150266, A.D. 1977-Aug-20 16:16:32.1830,      48.182846,  1.642123091250522E+04,  2.034074874700045E+04,  2.286048683169724E+04,  2.751988189744975E+00,  7.944000707229527E+00,  7.405987457432190E+00,  1.158387346396203E-01,  3.472757898922153E+04,  1.082950339921790E+01,
2443376.178844711, A.D. 1977-Aug-20 16:17:32.1830,      48.182846,  1.658607316350500E+04,  2.081704410751778E+04,  2.330445915855045E+04,  2.742823177804774E+00,  7.932573115920844E+00,  7.393167802262099E+00,  1.180055751012006E-01,  3.537718141729252E+04,  1.082390264292836E+01,
2443376.179539155, A.D. 1977-Aug-20 16:18:32.1830,      48.182846,  1.675037778532112E+04,  2.129266476442827E+04,  2.374767604343460E+04,  2.734062814288406E+00,  7.921507734784123E+00,  7.380801978415693E+00,  1.201712902427302E-01,  3.602644648289950E+04,  1.081826063980159E+01,
2443376.180233600, A.D. 1977-Aug-20 16:19:32.1830,      48.182846,  1.691416828604796E+04,  2.176763194702576E+04,  2.419016399878585E+04,  2.725681759407983E+00,  7.910787952358333E+00,  7.368866349055061E+00,  1.223358733335068E-01,  3.667537216822867E+04,  1.081259228074164E+01,
2443376.180928044, A.D. 1977-Aug-20 16:20:32.1830,      48.182846,  1.707746671500052E+04,  2.224196591707977E+04,  2.463194816745611E+04,  2.717656692842556E+00,  7.900398118241864E+00,  7.357338875293706E+00,  1.244993204263987E-01,  3.732395728995966E+04,  1.080691053430348E+01,
2443376.181622488, A.D. 1977-Aug-20 16:21:32.1830,      48.182846,  1.724029377797378E+04,  2.271568602455617E+04,  2.507305241459932E+04,  2.709966120589889E+00,  7.890323479095354E+00,  7.346198985355534E+00,  1.266616299977476E-01,  3.797220139131128E+04,  1.080122668717289E+01,
